ITEM,X,Y,Z,ROTATION
wall.corner.001,-3.0,2.0,0.0,0.0
wall.corner.001,-3.0,-3.0,0.0,1.571
wall.corner.001,1.0,2.0,0.0,-1.571
wall.001,-1.0,2.0,0.0,-1.571
wall.000,-2.0,2.0,0.0,-1.571
wall.000,0.0,2.0,0.0,-1.571
wall.000,-3.0,1.0,0.0,0.0
wall.000,-3.0,0.0,0.0,0.0
wall.000,-3.0,-1.0,0.0,0.0
wall.000,-3.0,-2.0,0.0,0.0
floor.03.003,-3.0,2.0,0.0,-3.142
floor.03.003,-3.0,-3.0,0.0,1.571
floor.03.000,-3.0,-2.0,0.0,1.571
floor.03.000,-3.0,-1.0,0.0,1.571
floor.03.000,-3.0,0.0,0.0,1.571
floor.03.000,-3.0,1.0,0.0,1.571
floor.03.000,-2.0,2.0,0.0,1.571
floor.03.000,-1.0,2.0,0.0,1.571
floor.03.000,0.0,2.0,0.0,1.571
floor.03.000,1.0,2.0,0.0,1.571
