ITEM,X,Y,Z,ROTATION
wall.corner.000,-2.0,2.0,0.0,0.0
wall.corner.000,-2.0,-2.0,0.0,1.571
floor.02.000,-2.0,2.0,0.0,1.571
floor.02.000,-2.0,1.0,0.0,1.571
floor.02.000,-2.0,0.0,0.0,1.571
floor.02.000,-2.0,-1.0,0.0,1.571
floor.02.000,-2.0,-2.0,0.0,1.571
floor.02.000,-1.0,-2.0,0.0,1.571
floor.02.000,0.0,-2.0,0.0,1.571
floor.02.000,0.0,-1.0,0.0,1.571
floor.02.000,0.0,0.0,0.0,1.571
floor.02.000,0.0,1.0,0.0,1.571
floor.02.000,0.0,2.0,0.0,1.571
floor.02.000,-1.0,2.0,0.0,1.571
wall.001,-2.0,1.0,0.0,0.0
wall.001,-2.0,-1.0,0.0,0.0
wall.003,-2.0,0.0,0.0,0.0
door.001,-2.0,0.0,0.0,0.0
window.001,-2.0,-1.0,0.0,0.0
window.001,-2.0,1.0,0.0,0.0
floor.01.000,-1.0,1.0,0.0,0.0
floor.01.000,-1.0,0.0,0.0,0.0
floor.01.000,-1.0,-1.0,0.0,0.0
